inputs,target
"Yes, they returned it and it was in perfect shape. I was so grateful. @ That's great! I'm glad they were able to return it to you. What kind of fishing do you like to do?",That's great! I'm glad you were able to get it back in good shape.
That's great! I'm glad you were able to get it back in good shape. @ I like to go fishing in the ocean. It's so peaceful and relaxing.,That's great! I'm glad they were able to return it to you. What kind of fishing do you like to do?
"That's great! I'm glad they were able to return it to you. What kind of fishing do you like to do? @ That sounds like a lot of fun. I've never been fishing, but I've always wanted to.",I like to go fishing in the ocean. It's so peaceful and relaxing.
I like to go fishing in the ocean. It's so peaceful and relaxing. @ It's a great way to spend time with friends and family. You should give it a try!,"That sounds like a lot of fun. I've never been fishing, but I've always wanted to."
It's a great way to spend time with friends and family. You should give it a try! @ It really is. It's so peaceful and relaxing. Do you have any hobbies?,I think I will. I think it would be nice to get away from the city for a bit.
What do you do for a living? I want to be an actress someday. @ That sounds like a good job to have. I bet you get to meet a lot of interesting people.,"I work at a grocery store as a cashier. It's not the most glamorous job in the world, but it pays the bills."
"I work at a grocery store as a cashier. It's not the most glamorous job in the world, but it pays the bills. @ I do, and it's a great way to meet new people and make some extra cash.",That sounds like a good job to have. I bet you get to meet a lot of interesting people.
Some people are just cruel. I'm sorry you have to deal with that. Do you have any pets? @ That's great! I have two dogs myself. They're the best. What kind of dog do you have?,"Yes, I have a dog. He's a rescue dog and I love him so much."
I agree.  I like mine with chocolate syrup and vanilla ice cream.  How about you? @ I love it with a strawberry shortcake or chocolate chip cookie shake.,I like it with cookie dough or cookies and cream. It's so good!
I like it with cookie dough or cookies and cream. It's so good! @ That sounds really good. I'll have to try that sometime. Do you have a favorite ice cream flavor?,I love it with a strawberry shortcake or chocolate chip cookie shake.
I love it with a strawberry shortcake or chocolate chip cookie shake. @ I like mint chocolate chip the best.  What is your favorite flavor of ice cream?,That sounds really good. I'll have to try that sometime. Do you have a favorite ice cream flavor?
That sounds really good. I'll have to try that sometime. Do you have a favorite ice cream flavor? @ I really like cookie dough ice cream. It's so sweet and creamy. What's your favorite?,I like mint chocolate chip the best.  What is your favorite flavor of ice cream?
I like mint chocolate chip the best.  What is your favorite flavor of ice cream? @ I really like Ben & Jerry's Cookie Dough.  It is one of the most popular ice cream brands in the world.,I really like cookie dough ice cream. It's so sweet and creamy. What's your favorite?
I really like cookie dough ice cream. It's so sweet and creamy. What's your favorite? @ I've never heard of that brand. I'll have to look it up. My favorite ice cream is cookies and cream.,I really like Ben & Jerry's Cookie Dough.  It is one of the most popular ice cream brands in the world.
I love Superman too! He's my favorite superhero. I can't wait for the movie to come out. @ It's going to be great! I'm excited to see how the new movie will compare to the old one.,"I haven't seen the new one yet, but I'm looking forward to it as well."
It's going to be great! I'm excited to see how the new movie will compare to the old one. @ I'm sure it will be just as good. The first one was one of my favorite movies as a kid.,I hope it's as good as the first one. It's been so long since I've seen it.
I hope it's as good as the first one. It's been so long since I've seen it. @ I loved that movie too. I can't wait to see it. I hope they do a good job.,I'm sure it will be just as good. The first one was one of my favorite movies as a kid.
"I'm sure it will be just as good. The first one was one of my favorite movies as a kid. @ I hope so too, it's been a long time since they made a sequel to that one.",I loved that movie too. I can't wait to see it. I hope they do a good job.
I loved that movie too. I can't wait to see it. I hope they do a good job. @ I know. It's been so long since I've seen that movie. I wonder if it's going to be as good as the original.,"I hope so too, it's been a long time since they made a sequel to that one."
"I hope so too, it's been a long time since they made a sequel to that one. @ I'm sure it will be just as good, it was directed by Steven Spielberg.",I know. It's been so long since I've seen that movie. I wonder if it's going to be as good as the original.
I like playing video games as well. What is your favorite genre of video games to play? @ I really like the Call of Duty series. It is one of the most popular video games in the world.,I really like first person shooters.  Do you have a favorite game that you play a lot?
"He's a figure skater. He's been skating since he was a little kid. @ You should give it a try, it's a lot of fun. It's a great workout.",That's pretty cool. I've never been able to figure out how to do any of those tricks.
That's pretty cool. I've never been able to figure out how to do any of those tricks. @ I'll have to look into it. I'm always looking for new ways to stay in shape.,"You should give it a try, it's a lot of fun. It's a great workout."
"It's not hard to do, you just need to find a routine and stick to it. @ You're welcome! I'm sure you'll do great! Just keep at it and you'll see results in no time!",That's good to hear. I think I'll try it out this weekend. Thanks for the encouragement!
That's good to hear. I think I'll try it out this weekend. Thanks for the encouragement! @ Thank you so much for the kind words. I really appreciate it. I hope you have a great weekend!,You're welcome! I'm sure you'll do great! Just keep at it and you'll see results in no time!
That's understandable. Do you have any hobbies you like to do in your spare time? @ I like playing video games as well. I also like to go to the movies. What kind of video games do you like?,"Yes, I like to play video games. What about you? What do you do for fun?"
That sounds really good. I'll have to try that next time I'm craving a burrito. @ I've never had one of those before. Do they have a lot of meat in them?,"Burritos are my favorite food, I could eat them every day of the week if I could."
"Burritos are my favorite food, I could eat them every day of the week if I could. @ Yes, it is a Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling.",I've never had one of those before. Do they have a lot of meat in them?
I've never had one of those before. Do they have a lot of meat in them? @ That sounds really good. I love mexican food. Do you have a favorite kind of burrito?,"Yes, it is a Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling."
"Yes, it is a Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling. @ I love the Chipotle quesadillas, they are my favorite fast food burritos.",That sounds really good. I love mexican food. Do you have a favorite kind of burrito?
"That sounds really good. I love mexican food. Do you have a favorite kind of burrito? @ I have never had one of those, but I have heard of them. They are a fast food chain that specializes in Mexican cuisine.","I love the Chipotle quesadillas, they are my favorite fast food burritos."
"I have never had one of those, but I have heard of them. They are a fast food chain that specializes in Mexican cuisine. @ I will have to try them sometime. I know they are popular in Los Angeles and San Francisco.","They are really good, they have been around since 1972, they were founded in San Bernardino, California."
"They are really good, they have been around since 1972, they were founded in San Bernardino, California. @ Yes, they are very popular, they even have locations all over the United States, Canada, Mexico, Central America, and the Caribbean.",I will have to try them sometime. I know they are popular in Los Angeles and San Francisco.
"Of course.  We are all here for each other.  If you need anything, just let me know. @ You are welcome.  I hope you have a great day.  Take care of yourself.","Thank you, I really appreciate that. It's nice to know there are still good people out there."
What do you like to do in your spare time? Maybe you can find a job in that field. @ Video games are fun. I like to read books and watch movies. What about you?,"I don't have a lot of spare time, but I do like to play video games. Do you have any hobbies?"
I don't really have much time for hobbies. I spend most of my time studying. @ I am a senior in high school. I am studying business administration. What do you do?,That's too bad. What are you studying? Are you in college or high school?
That's too bad. What are you studying? Are you in college or high school? @ I'm a student too. I'm studying to be an accountant. What kind of business do you want to be in?,I am a senior in high school. I am studying business administration. What do you do?
I am a senior in high school. I am studying business administration. What do you do? @ I would like to own my own business someday. How long have you been studying accounting?,I'm a student too. I'm studying to be an accountant. What kind of business do you want to be in?
"I'm a student too. I'm studying to be an accountant. What kind of business do you want to be in? @ I've only been in school for a few years, but I've always been interested in accounting.",I would like to own my own business someday. How long have you been studying accounting?
That's a good way to look at it. It's hard not to compare yourself to others sometimes. @ I think that's a great attitude to have. I wish I could be more like that.,I agree. I think it's important to be happy with who you are and not what others think of you.
"I don't have a specific type, but I do enjoy a good single malt scotch. @ I agree, it's a great blend of malt and grain mash.",Single malt Scotch is one of my favorites as well. I like that it is aged in wooden casks.
"Single malt Scotch is one of my favorites as well. I like that it is aged in wooden casks. @ Yes, it is. It is made from fermented grains like barley, rye, and wheat.","I agree, it's a great blend of malt and grain mash."
"Yes, it is. It is made from fermented grains like barley, rye, and wheat. @ Yes, and it is one of the most popular beverages in the world.","That's right, it was first made in Scotland in the late 19th century."
I used to play with him all the time when I was a kid. I miss him so much. @ He got hit by a car when he was a little kitten. It was so sad.,"Aww, I'm sorry to hear that. I bet you miss him a lot. What happened to him?"
"I agree, Mexico is a great place to visit. I love the beaches and the food. @ It really is.  The food is great and the people are very friendly.  Do you have a favorite place you want to visit?","I have never been to Mexico, but I would love to go one day. I hear the food is amazing!"
"I would like to go to Ireland, England, Scotland, and the Netherlands. @ I have never been, but I would love to go. It is the most sparsely populated country in Europe.",I'd love to visit Ireland.  I hear it's beautiful there.  Have you ever been?
"I love them too, but I don't think I could live with one as a pet. @ I think so too. I just wish I could find someone to take care of them for me.","I know what you mean. They can be a lot of work, but it's worth it in the end."
You're welcome! I hope you find a good home for your furry friend soon! @ I'm sure you will! You sound like a great friend. I wish you the best of luck!,"Thank you so much, I appreciate it. I hope I can find a home for him as well."
"I'm not a big football fan, but I know they're a good team.  What do you like about them? @ I didn't know that.  Are you a fan of any other teams in the NFL?",I like the fact that they play in the National Football League (NFL)
I like the fact that they play in the National Football League (NFL) @ I am a big fan of the Seattle Seahawks. They are an American professional football team based in Washington D.C.,I didn't know that.  Are you a fan of any other teams in the NFL?
"I didn't know that.  Are you a fan of any other teams in the NFL? @ That's cool.  I don't know much about the NFL, but I do know that Seattle is the most populous city in the state of Washington.",I am a big fan of the Seattle Seahawks. They are an American professional football team based in Washington D.C.
"I am a big fan of the Seattle Seahawks. They are an American professional football team based in Washington D.C. @ Yes it is. It is also the seat of King County, WA.","That's cool.  I don't know much about the NFL, but I do know that Seattle is the most populous city in the state of Washington."
"Yes it is. It is also the seat of King County, WA. @ I think they have a good chance of winning the Superbowl. They have had a lot of success over the years.",I didn't know that.  Do you think they will win the Super Bowl this year?
I love music! Bruno Mars is one of my favorites. What kind of music do you like? @ I don't really have a favorite. I like a lot of different music. What do you do for a living?,"I like all kinds of music, but my favorite band is the Beatles. What about you?"
I don't really have a favorite. I like a lot of different music. What do you do for a living? @ That sounds like a good job to have. Do you get to listen to music while you work?,"I work in a call center. It's not the most exciting job, but it pays the bills."
"I work in a call center. It's not the most exciting job, but it pays the bills. @ I do! It's a great way to pass the time. What kind of music do you like?",That sounds like a good job to have. Do you get to listen to music while you work?
"That sounds like a good job to have. Do you get to listen to music while you work? @ I like a lot of different kinds of music, but my favorite is country. What about you?",I do! It's a great way to pass the time. What kind of music do you like?
I do! It's a great way to pass the time. What kind of music do you like? @ I don't really have a favorite. I listen to whatever is on the radio. What do you do for a living?,"I like a lot of different kinds of music, but my favorite is country. What about you?"
Do you speak any other languages besides Algerian? I know a little bit of French. @ That's too bad. Do you play any musical instruments? I play the violin.,"No, I don't. I wish I did, though. I would love to learn another language."
"No, I don't. I wish I did, though. I would love to learn another language. @ I do not play any instruments, but I would like to learn how to play the piano.",That's too bad. Do you play any musical instruments? I play the violin.
That's too bad. Do you play any musical instruments? I play the violin. @ Piano is a great instrument to learn. It was invented in Italy by Bartolomeo Cristofori.,"I do not play any instruments, but I would like to learn how to play the piano."
"Yes he was. He was born in Bologna, Italy and moved to Italy when he was very young. @ Yes, he moved to the U.S. at the age of 15 to pursue his musical career.","Wow, I didn't know that. I know he was born and raised in Flint, Michigan."
That's so cool! I love indian food. What's your favorite dish to cook? @ I love curry! I make it at home all the time. Do you have a favorite curry recipe?,I love to make curry. It's one of the most popular cuisines in the world.
"I love to make curry. It's one of the most popular cuisines in the world. @ I like to make Tikka Masala, it's a traditional Indian dish.",I love curry! I make it at home all the time. Do you have a favorite curry recipe?
"I love curry! I make it at home all the time. Do you have a favorite curry recipe? @ I've never heard of that, what is it? I love Indian food, especially Thai food.","I like to make Tikka Masala, it's a traditional Indian dish."
"I like to make Tikka Masala, it's a traditional Indian dish. @ It's a mixture of spices, herbs, and vegetables. It's really good.","I've never heard of that, what is it? I love Indian food, especially Thai food."
"I have played it a few times, but I am not very good at it. Do you play any other video games? @ I like action and adventure games. I also like racing games. What about you?","No, I don't play many video games these days.  What kind of games do you like to play?"
"Yeah, I use it to keep up with my friends. What do you like to do in your spare time? @ Video games are fun. I like to read books and watch movies. What kind of video games do you play?",I like to spend time with my family and friends. I also like to play video games. What about you?
"Yeah, it's been a while since I've played it, but I still enjoy it. What do you like to do in your spare time? @ I don't have a lot of free time, but when I do, I like going to the movies.",I like to spend time with my family and play video games with them. What about you?
I don't think I would be able to handle it. I work at a corner store on the weekends. @ I watch a lot of Scooby-Doo. It's one of my favorite shows. What about you?,That's too bad. Do you have any hobbies to keep you busy during the week?
That's too bad. Do you have any hobbies to keep you busy during the week? @ I love scooby doo! I watch it all the time. My favorite character is Shaggy.,I watch a lot of Scooby-Doo. It's one of my favorite shows. What about you?
I watch a lot of Scooby-Doo. It's one of my favorite shows. What about you? @ That's a good one. I also like Velma. She's my favorite character.,I love scooby doo! I watch it all the time. My favorite character is Shaggy.
I love scooby doo! I watch it all the time. My favorite character is Shaggy. @ She's a great character. I love how she's a vampire in the show.,That's a good one. I also like Velma. She's my favorite character.
She's a great character. I love how she's a vampire in the show. @ Vampires are my favorite fictional supernatural creature. Do you have a favorite character?,"Yeah, she's pretty cool. I like that she's not afraid of vampires."
"Thank you. It is hard, but it does get better with time. Do you have any hobbies? @ Video games are fun. I like to go to the movies and play board games.",I like to play video games.  What about you?  What do you like to do?
"Yes, it is.  You should try it sometime.  It's fun to play with friends. @ I like Monopoly.  I think it's one of the most popular board games in the world.",I'll have to check it out. Do you have a favorite board game you like to play?
Punk rock is a great genre of music. What is your favorite punk band? @ I really like Green Day. They are an American rock band formed in 1986.,"I don't really have a favorite, but I do know that punk rock has roots in blues rock and psychedelic rock."
"I don't really have a favorite, but I do know that punk rock has roots in blues rock and psychedelic rock. @ Green Day is one of my favorite bands. They were formed by American singer and songwriter Bill Wyman.",I really like Green Day. They are an American rock band formed in 1986.
"I really like Green Day. They are an American rock band formed in 1986. @ I really like them too. They formed the band in Dallas, Texas.",Green Day is one of my favorite bands. They were formed by American singer and songwriter Bill Wyman.
Green Day is one of my favorite bands. They were formed by American singer and songwriter Bill Wyman. @ I like them because they have a unique sound. They incorporate many different styles of music into their music.,"I really like them too. They formed the band in Dallas, Texas."
"I really like them too. They formed the band in Dallas, Texas. @ I agree. They are one of the most influential bands in the history of rock and roll.",I like them because they have a unique sound. They incorporate many different styles of music into their music.
"I agree. They are one of the most influential bands in the history of rock and roll. @ Yes, they are an American rock band from Los Angeles, California.",They really are. They were formed in 1985 by two brothers and one sister.
"I love labradors! They're so sweet and gentle. What's their name? @ Aww, that's so sweet of you to take him in. I bet he's a great dog.",His name is Dexter.  He is a rescue dog.  I got him from a shelter.
I'm sorry to hear that. Do you have any hobbies that you like to do? @ I enjoy playing video games as well. I also like to go to the beach and surf.,I like to play video games. What about you? What kind of hobbies do you have?
I enjoy playing video games as well. I also like to go to the beach and surf. @ I also enjoy spending time with family. What is your favorite game to play with your family?,Video games are a lot of fun. I like to spend time with my family.
I do! I have a dog and a cat. I love them both so much. What about you? @ That's too bad. They're great companions. What kind of cat did you have?,"I don't have any right now, but I used to have a cat when I was younger."
"I feel the same way. I think it's because I've been working so hard to get where I want to be. @ I like to play video games and go to the movies. What about you, do you have any hobbies?",That's a good way to look at it. What do you like to do for fun?
That's a good way to look at it. What do you like to do for fun? @ Video games are a lot of fun. I like to watch movies and listen to music.,"I like to play video games and go to the movies. What about you, do you have any hobbies?"
"I like to play video games and go to the movies. What about you, do you have any hobbies? @ That's cool. What kind of music do you listen to? I like rock and roll.",Video games are a lot of fun. I like to watch movies and listen to music.
"Video games are a lot of fun. I like to watch movies and listen to music. @ I like all kinds of music, but my favorite genre is rock. What's your favorite band?",That's cool. What kind of music do you listen to? I like rock and roll.
That's cool. What kind of music do you listen to? I like rock and roll. @ My favorite band is Led Zeppelin. They were formed in 1962.,"I like all kinds of music, but my favorite genre is rock. What's your favorite band?"
